PERMNO,date,RET
14593,2017-05-03,-0.003051
14593,2017-05-04,-0.003604
14593,2017-05-05,0.016584
14593,2017-05-08,0.027188
14593,2017-05-09,0.006405
14593,2017-05-10,-0.004741
14593,2017-05-11,0.008613
14593,2017-05-12,0.013966
14593,2017-05-15,-0.002563
14593,2017-05-16,-0.001477
14593,2017-05-17,-0.033576
14593,2017-05-18,0.015241
14593,2017-05-19,0.003409
14593,2017-05-22,0.006076
14593,2017-05-23,-0.001234
14593,2017-05-24,-0.002991
14593,2017-05-25,0.003456
14593,2017-05-26,-0.00169
14593,2017-05-30,0.000391
14593,2017-05-31,-0.005922
14593,2017-06-01,0.002749
14593,2017-06-02,0.014819
14593,2017-06-05,-0.009778
14593,2017-06-06,0.003378
14593,2017-06-07,0.005957
14593,2017-06-08,-0.002446
14593,2017-06-09,-0.038777
14593,2017-06-12,-0.023896
14593,2017-06-13,0.008046
14593,2017-06-14,-0.009755
14593,2017-06-15,-0.005993
14593,2017-06-16,-0.014
14593,2017-06-19,0.028608
14593,2017-06-20,-0.009088
14593,2017-06-21,0.005931
14593,2017-06-22,-0.001645
14593,2017-06-23,0.004463
14593,2017-06-26,-0.003145
14593,2017-06-27,-0.014333
14593,2017-06-28,0.014611
14593,2017-06-29,-0.014743
14593,2017-06-30,0.002366
14593,2017-07-03,-0.003611
14593,2017-07-05,0.004111
14593,2017-07-06,-0.009439
14593,2017-07-07,0.010159
14593,2017-07-10,0.006104
14593,2017-07-11,0.00324
14593,2017-07-12,0.001443
14593,2017-07-13,0.013929
14593,2017-07-14,0.008594
14593,2017-07-17,0.003489
14593,2017-07-18,0.003477
14593,2017-07-19,0.006263
14593,2017-07-20,-0.004503
14593,2017-07-21,-0.000466
14593,2017-07-24,0.012111
14593,2017-07-25,0.004274
14593,2017-07-26,0.004714
14593,2017-07-27,-0.018897
14593,2017-07-28,-0.00704
14593,2017-07-31,-0.005151
14593,2017-08-01,0.008875
14593,2017-08-02,0.047251
