GVKEY,LINKTYPE,LPERMNO,LPERMCO,LINKDT,LINKENDDT,conm
11446,LC,21186,21913,19620131,20150701,MEADWESTVACO CORP
11636,LC,27983,21945,19620131,E,XEROX HOLDINGS CORP
11687,LC,84129,5057,19740101,E,ZIONS BANCORPORATION NA
11818,LC,68304,20282,19851029,20080530,BEAR STEARNS COMPANIES INC
11856,LC,71563,4163,19820129,E,TRUIST FINANCIAL CORP
11856,LC,71563,4163,19820101,19820128,TRUIST FINANCIAL CORP
11861,LC,80072,4818,19820129,E,VALLEY NATIONAL BANCORP
11923,LU,70332,20194,19861002,20190830,ANADARKO PETROLEUM CORP
12124,LC,69032,21224,19860321,E,MORGAN STANLEY
12673,LU,69761,20269,19860909,E,BARCLAYS PLC
12886,LC,90442,21287,20041201,E,TWENTY-FIRST CENTURY FOX INC
12886,LC,90442,21287,20041112,20041130,TWENTY-FIRST CENTURY FOX INC
12886,LC,90441,21287,20041201,E,TWENTY-FIRST CENTURY FOX INC
12886,LC,90441,21287,20041112,20041130,TWENTY-FIRST CENTURY FOX INC
12886,LC,69593,21287,19860520,20041102,TWENTY-FIRST CENTURY FOX INC
12978,LC,13598,54193,20121001,20150702,KRAFT FOODS GROUP INC
13041,LC,20053,781,19810101,E,SYNOVUS FINANCIAL CORP
13700,LC,11600,9424,19870812,E,DENTSPLY SIRONA INC
14140,LC,75152,20260,19870730,E,BANCO SANTANDER SA
14172,LU,88197,5440,19850903,E,FULTON FINANCIAL CORP
14623,LU,12067,9903,19880811,E,NOVELLUS SYSTEMS INC
14738,LU,75076,21148,19870508,20120831,MALAYSIA FUND
14894,LC,75418,21996,19881027,E,VODAFONE GROUP PLC
14934,LC,87137,35222,19990818,E,DEVON ENERGY CORP
15181,LC,75381,21963,19881214,E,BBVA
15504,LC,84766,31989,19970521,20080424,ABN-AMRO HOLDINGS NV
15509,LC,87033,35175,19990716,E,HSBC HLDGS PLC
15576,LC,89199,42291,20011003,E,DEUTSCHE BANK AG
15627,LC,75811,22107,19890919,20010330,BANK TOKYO-MITSUBISHI
15634,LC,92355,28711,20071201,E,NATWEST GROUP PLC
15634,LC,92355,28711,20071018,20071130,NATWEST GROUP PLC
15929,LC,89238,42417,20011127,E,LLOYDS BANKING GROUP PLC
17233,LC,73809,7050,19880129,20150731,SUSQUEHANNA BANCSHARES INC
17233,LC,73809,7050,19870101,19880128,SUSQUEHANNA BANCSHARES INC
17828,LC,86381,34898,19981117,20100604,DAIMLER AG
18043,LC,13964,54433,20130701,E,NEWS CORP
18043,LC,13963,54433,20130701,E,NEWS CORP
18597,LC,76592,28996,19910313,19940130,GRAND METROPOLITAN PLC
18636,LC,76592,28996,19940131,E,DIAGEO PLC
19416,LC,14465,54741,20140211,20170531,NEPHROGENEX INC
19565,LC,76221,26084,19900628,E,RIO TINTO GROUP
20779,LC,76076,10486,19900216,E,CISCO SYSTEMS INC
21825,LC,14889,55006,20140924,E,CITIZENS FINANCIAL GROUP INC
22260,LC,12622,53696,20110310,E,HCA HEALTHCARE INC
24800,LU,77178,11253,19911213,E,QUALCOMM INC
24856,LU,77274,11300,19920122,E,GILEAD SCIENCES INC
25340,LU,77661,11559,19920605,E,D R HORTON INC
25405,LC,84776,31975,19970516,20180605,GENERAL CABLE CORP/DE
27786,LC,78877,11937,19930205,E,CHESAPEAKE ENERGY CORP
27980,LC,78977,12037,19930406,20160415,JARDEN CORP
28194,LC,88597,39140,20000913,E,AVIENT CORP
28216,LC,92799,29863,20080919,20081125,REINSURANCE GROUP AMER INC
28216,LC,86134,29863,19980605,19990914,REINSURANCE GROUP AMER INC
28216,LC,79210,29863,19930504,E,REINSURANCE GROUP AMER INC
28272,LU,79363,29908,19930607,E,ASTRAZENECA PLC
28838,LC,89154,42125,20010925,E,CREDIT SUISSE GROUP
28930,LC,85913,30005,19980501,E,MARRIOTT INTL INC
28930,LC,85913,30005,19980330,19980430,MARRIOTT INTL INC
28930,LC,79764,30005,19980501,19980520,MARRIOTT INTL INC
28930,LC,79764,30005,19931012,19980430,MARRIOTT INTL INC
29613,LU,80112,12784,19940121,20170531,CASCADE BANCORP
29830,LC,21186,21913,20150702,E,WESTROCK CO
29984,LC,85592,32135,20110603,E,PROLOGIS INC
30990,LC,81055,30513,19941116,E,CAPITAL ONE FINANCIAL CORP
31037,LC,91517,51322,20061110,20130731,ASSISTED LIVING CONCEPTS INC
60979,LU,81677,30913,19950616,E,WABTEC CORP
61489,LC,85032,15545,20000701,20110331,QWEST COMMUNICATION INTL INC
61739,LC,82775,31386,19951220,E,HARTFORD FINANCIAL SERVICES
64967,LU,85032,15545,19970630,20000630,QWEST COMMUNICATION INTL-OLD
64967,LU,85032,15545,19970624,19970629,QWEST COMMUNICATION INTL-OLD
65576,LC,85592,32135,19971121,20110602,AMB PROPERTY CORP
109683,LC,85994,16060,19980420,20160729,FIRST NIAGARA FINANCIAL GRP
113419,LC,86305,34849,19980813,20181004,CONVERGYS CORP
114524,LU,86356,16285,19980924,E,EBAY INC
114628,LU,86868,35048,19990504,E,GOLDMAN SACHS GROUP INC
116245,LU,86414,21833,19981124,20040430,SPRINT PCS GROUP
126814,LU,87436,20587,19991118,20010330,DISNEY (WALT) INTERNET GROUP
133768,LC,87842,37138,20000405,E,METLIFE INC
142953,LC,89006,41680,20010613,E,MONDELEZ INTERNATIONAL INC
144066,LC,89014,41688,20010702,20181130,ROCKWELL COLLINS
144496,LC,88239,37504,20141128,20150831,UBS GROUP AG
144496,LC,88239,37504,20141101,20141127,UBS GROUP AG
144496,LC,88239,37504,20000516,20141031,UBS GROUP AG
144496,LC,15054,55100,20141128,E,UBS GROUP AG
145046,LC,89179,42273,20011030,E,ANTHEM INC
145701,LC,89195,42285,20011023,E,PRINCIPAL FINANCIAL GRP INC
149337,LC,90601,46282,20050210,E,NASDAQ INC
156155,LC,89900,44612,20031125,E,SYNNEX CORP
161966,LC,90401,45709,20041005,E,ARES CAPITAL CORP
163920,LC,90776,46890,20050630,E,WESTERN ALLIANCE BANCORP
166451,LC,91143,50474,20060308,20131112,NYSE EURONEXT
177376,LC,92121,52396,20070702,E,DISCOVER FINANCIAL SVCS
179132,LC,92467,52885,20071220,E,ORION GROUP HOLDINGS INC
179621,LC,92602,52978,20080331,E,PHILIP MORRIS INTERNATIONAL
179657,LC,92597,52975,20080401,E,HILLENBRAND INC
209382,LC,89330,37665,20020322,E,VALE SA
212340,LU,85888,16024,19980327,20190131,SHIRE PLC
241216,LC,88822,41009,20001113,E,SYNGENTA AG
241637,LC,93013,53204,20090916,E,ANHEUSER-BUSCH INBEV
252940,LC,75811,22107,20010402,E,MITSUBISHI UFJ FINANCIAL GRP
